using device: cuda
Model parameters: 135.18M
loaded 338025 tokens
1 epoch = 165 batches
Starting training...
step 2220 | loss: 3.3162 | dt: 2703.80ms | tok/sec: 757.45
step 2230 | loss: 2.8865 | dt: 2705.55ms | tok/sec: 756.96
step 2240 | loss: 3.1759 | dt: 2717.99ms | tok/sec: 753.50
step 2250 | loss: 3.3846 | dt: 2703.64ms | tok/sec: 757.50
step 2260 | loss: 3.3697 | dt: 2732.82ms | tok/sec: 749.41
step 2270 | loss: 3.2227 | dt: 2703.69ms | tok/sec: 757.48
step 2280 | loss: 2.8169 | dt: 2706.62ms | tok/sec: 756.66
step 2290 | loss: 2.9860 | dt: 2700.74ms | tok/sec: 758.31
step 2300 | loss: 2.7406 | dt: 2711.47ms | tok/sec: 755.31
step 2310 | loss: 3.1365 | dt: 2706.79ms | tok/sec: 756.62
step 2320 | loss: 2.9496 | dt: 2699.63ms | tok/sec: 758.62
step 2330 | loss: 3.2225 | dt: 2702.71ms | tok/sec: 757.76
step 2340 | loss: 3.0330 | dt: 2710.74ms | tok/sec: 755.51
step 2350 | loss: 3.1792 | dt: 2704.27ms | tok/sec: 757.32
step 2360 | loss: 3.0794 | dt: 2709.94ms | tok/sec: 755.74
step 2370 | loss: 2.9420 | dt: 2697.96ms | tok/sec: 759.09
step 2380 | loss: 2.8587 | dt: 2695.43ms | tok/sec: 759.80
step 2390 | loss: 2.8747 | dt: 2695.93ms | tok/sec: 759.66
step 2400 | loss: 2.8319 | dt: 2711.99ms | tok/sec: 755.16
step 2410 | loss: 2.8368 | dt: 2736.55ms | tok/sec: 748.39
step 2420 | loss: 3.1382 | dt: 2693.63ms | tok/sec: 760.31
step 2430 | loss: 3.2540 | dt: 2703.97ms | tok/sec: 757.41
step 2440 | loss: 2.8659 | dt: 2702.61ms | tok/sec: 757.79
step 2450 | loss: 2.6254 | dt: 2700.30ms | tok/sec: 758.43
step 2460 | loss: 2.7329 | dt: 2706.12ms | tok/sec: 756.80
step 2470 | loss: 3.0561 | dt: 2704.39ms | tok/sec: 757.29
step 2480 | loss: 2.8807 | dt: 2705.39ms | tok/sec: 757.01
step 2490 | loss: 2.6715 | dt: 2699.49ms | tok/sec: 758.66
step 2500 | loss: 2.6661 | dt: 2701.31ms | tok/sec: 758.15

--- Generating text at step 2500 ---
! wasBoy
's one heinous to purchase with us and fold'd
Than is of lips for your time his son,
Which my conscience did forsworn,
It like a friendly that owe'd their go
But, afterced his
-----------------------------------

step 2510 | loss: 2.6807 | dt: 2698.79ms | tok/sec: 758.86
step 2520 | loss: 2.8045 | dt: 2696.69ms | tok/sec: 759.45
step 2530 | loss: 2.9238 | dt: 2701.84ms | tok/sec: 758.00
step 2540 | loss: 2.7829 | dt: 2696.82ms | tok/sec: 759.41
step 2550 | loss: 2.8688 | dt: 2713.57ms | tok/sec: 754.72
step 2560 | loss: 2.5317 | dt: 2700.27ms | tok/sec: 758.44
step 2570 | loss: 2.8389 | dt: 2694.92ms | tok/sec: 759.95
step 2580 | loss: 2.8973 | dt: 2700.89ms | tok/sec: 758.27
step 2590 | loss: 2.9376 | dt: 2701.52ms | tok/sec: 758.09
step 2600 | loss: 2.8337 | dt: 2734.45ms | tok/sec: 748.96
step 2610 | loss: 2.3944 | dt: 2696.95ms | tok/sec: 759.38
step 2620 | loss: 2.5720 | dt: 2705.58ms | tok/sec: 756.95
step 2630 | loss: 2.3286 | dt: 2726.76ms | tok/sec: 751.07
step 2640 | loss: 2.6583 | dt: 2712.49ms | tok/sec: 755.03
step 2650 | loss: 2.5653 | dt: 2706.73ms | tok/sec: 756.63
step 2660 | loss: 2.8053 | dt: 2709.10ms | tok/sec: 755.97
step 2670 | loss: 2.6431 | dt: 2696.00ms | tok/sec: 759.64
step 2680 | loss: 2.6953 | dt: 2746.24ms | tok/sec: 745.75
step 2690 | loss: 2.6361 | dt: 2716.29ms | tok/sec: 753.97
step 2700 | loss: 2.4590 | dt: 2774.52ms | tok/sec: 738.15
step 2710 | loss: 2.3923 | dt: 2749.37ms | tok/sec: 744.90
step 2720 | loss: 2.4924 | dt: 2701.07ms | tok/sec: 758.22
step 2730 | loss: 2.4631 | dt: 2711.96ms | tok/sec: 755.17
step 2740 | loss: 2.4050 | dt: 2718.98ms | tok/sec: 753.22
step 2750 | loss: 2.6518 | dt: 2697.21ms | tok/sec: 759.30
step 2760 | loss: 2.7260 | dt: 2876.82ms | tok/sec: 711.90
step 2770 | loss: 2.3956 | dt: 2746.34ms | tok/sec: 745.72
step 2780 | loss: 2.1536 | dt: 2684.97ms | tok/sec: 762.76
step 2790 | loss: 2.2741 | dt: 2954.08ms | tok/sec: 693.28
step 2800 | loss: 2.5598 | dt: 2906.71ms | tok/sec: 704.58
step 2810 | loss: 2.2911 | dt: 2680.05ms | tok/sec: 764.16
step 2820 | loss: 2.1884 | dt: 2682.93ms | tok/sec: 763.34
step 2830 | loss: 2.2343 | dt: 2675.76ms | tok/sec: 765.39
step 2840 | loss: 2.2411 | dt: 2695.51ms | tok/sec: 759.78
step 2850 | loss: 2.2290 | dt: 2864.33ms | tok/sec: 715.00
step 2860 | loss: 2.2985 | dt: 2659.26ms | tok/sec: 770.14
step 2870 | loss: 2.2090 | dt: 2667.58ms | tok/sec: 767.74
step 2880 | loss: 2.2442 | dt: 2657.60ms | tok/sec: 770.62
step 2890 | loss: 2.0802 | dt: 2673.51ms | tok/sec: 766.03
step 2900 | loss: 2.2653 | dt: 2668.15ms | tok/sec: 767.57
step 2910 | loss: 2.2835 | dt: 2662.19ms | tok/sec: 769.29
step 2920 | loss: 2.1685 | dt: 2660.40ms | tok/sec: 769.81
step 2930 | loss: 2.1162 | dt: 2660.61ms | tok/sec: 769.75
step 2940 | loss: 1.8274 | dt: 2661.90ms | tok/sec: 769.38
step 2950 | loss: 1.8564 | dt: 2703.16ms | tok/sec: 757.63
step 2960 | loss: 1.7792 | dt: 2658.62ms | tok/sec: 770.32
step 2970 | loss: 2.0663 | dt: 2662.07ms | tok/sec: 769.33
step 2980 | loss: 1.9452 | dt: 2660.27ms | tok/sec: 769.85
step 2990 | loss: 2.1067 | dt: 2664.71ms | tok/sec: 768.56
step 3000 | loss: 1.9999 | dt: 2669.69ms | tok/sec: 767.13

--- Generating text at step 3000 ---
! thrive lives, the rage d
Endiciansed in the wind O very danger!

First Murderer:
What commend thee well that are this!

First Murderer:
On my poor lord,
I'll follow thee better
-----------------------------------

step 3010 | loss: 1.9782 | dt: 2669.18ms | tok/sec: 767.28
step 3020 | loss: 1.9162 | dt: 2816.11ms | tok/sec: 727.24
step 3030 | loss: 1.7600 | dt: 2748.60ms | tok/sec: 745.11
step 3040 | loss: 1.7559 | dt: 3330.35ms | tok/sec: 614.95
step 3050 | loss: 1.8405 | dt: 2766.42ms | tok/sec: 740.31
step 3060 | loss: 1.8245 | dt: 2675.78ms | tok/sec: 765.38
step 3070 | loss: 1.7706 | dt: 2834.19ms | tok/sec: 722.61
step 3080 | loss: 1.8807 | dt: 2701.07ms | tok/sec: 758.22
step 3090 | loss: 1.9564 | dt: 2774.91ms | tok/sec: 738.04
step 3100 | loss: 1.6477 | dt: 2787.13ms | tok/sec: 734.81
